ean_hotel_id,name,address1,city,state_province,postal_code,latitude,longitude,star_rating,high_rate,low_rate
109196,Days Inn Bath Hammondsport,330 W Morris St,Bath,NY,14810,42.33616,-77.32937,2,65.41,55.41
224895,Budget Inn Bath,332 W. Morris Street,Bath,NY,14810,42.33657,-77.33035,2,55,52
427232,Bay Shore Inn,300 Bay Shore Rd,Bay Shore,NY,11706,40.73222,-73.27663,1.5,98.7217,97.7217
207012,Travelodge Bay Shore Long Island,501 E Main Street,Bay Shore,NY,11706,40.72732,-73.23138,1.5,180.0228,106.268
220355,Adria Hotel And Conference Center,221-17 Northern Blvd,Bayside,NY,11361,40.76179,-73.75974,3,180.15,160
130161,Anchor Inn,215-34 Northern Blvd,Bayside,NY,11361,40.76076,-73.76612,2,185.53,159.03
115172,Best Western Queens Gold Coast,220-33 Northern Blvd,Bayside,NY,11361,40.76166,-73.76059,2.5,165.4,155.4
566299,The Roundhouse,2 E Main St,Beacon,NY,12508,41.50252,-73.96249,3.5,190.44,189.44
350825,Bellerose Inn,249-05 Jericho Turnpike,Bellerose,NY,11426,40.72656,-73.71558,2,100,99
343306,SpringHill Suites by Marriott Long Island Brookhaven,2 Sawgrass Dr,Bellport,NY,11713,40.80858,-72.94766,3,139.0174,119.0164
669535,Maple Springs Lake Side Inn,4696 Chautauqua Avenue,Bemus Point,NY,14712,42.19313,-79.41793,3,150.48,149.48
261411,Extended Stay America - Long Island - Bethpage,905 S Oyster Bay Rd,Bethpage,NY,11714,40.76001,-73.49987,2.5,115.46,105.46
433987,Motel 6 Binghamton,1012 Upper Front Street,Binghamton,NY,13905,42.14234,-75.90366,2,65.99,55.99
107922,Holiday Inn Binghamton - Downtown (Hawley St.),2-8 Hawley Street,Binghamton,NY,13901,42.09747,-75.91485,3,126.4,97.4
341158,DoubleTree by Hilton Hotel Binghamton,225 Water St,Binghamton,NY,13901,42.10091,-75.91465,3,159.38,105.38
169615,Fairfield Inn by Marriott Binghamton,864 Upper Front St,Binghamton,NY,13905,42.13034,-75.90583,2.5,110.0159,109.0159
112292,Comfort Inn Binghamton,1000 Upper Front St,Binghamton,NY,13905,42.14164,-75.90375,2.5,124.99,119.99
109003,Econo Lodge Inn And Suites,690 Old Front St,Binghamton,NY,13905,42.12534,-75.9092,2,71.34,70.34
201389,Red Roof Inn Binghamton North,650 Old Front St,Binghamton,NY,13905,42.12453,-75.90976,2,69.99,65.6
486055,Park House Bed and Breakfast,85 Park Street,Binghamton,NY,13905,42.10901,-75.94552,3,110.44,95.44
619673,Microtel Inn & Suites By Wyndham Binghamton,400 Prospect Street,Binghamton,NY,13905,42.1189,-75.94541,2.5,169.33,122.4
132213,Econo Lodge South,4344 Milestrip Rd.,Blasdell,NY,14219,42.78987,-78.81782,2,66,54.4423
242093,La Quinta Inn & Suites Islip-MacArthur Airport,10 Aero Rd,Bohemia,NY,11716,40.77988,-73.09552,2.5,239.16,145.01
479839,Lakeland Inn,1630 Lakeland Avenue,Bohemia,NY,11716,40.78494,-73.11376,2,80,73.19
685044,Highlands Castle,19 Skyline Drive,Bolton Landing,NY,12814,43.56455,-73.66439,NULL,0,0
127173,Red Roof Inn Buffalo - Niagara Airport,146 Maple Drive,Bowmansville,NY,14026,42.94902,-78.69399,2,69.99,60.43
150010,Days Inn Brewerton/Syracuse/Airport,5552 Bartel Rd,Brewerton,NY,13029,43.23269,-76.1336,2.5,127.11,65.46
482259,Topping Rose House,One Bridgehampton - Sag Harbor Turnpike,Bridgehampton,NY,11932,40.9378,-72.30069,4.5,995.39,295.39
448735,Playland Motel,97-20 Rockaway Beach Blvd,Broad Channel,NY,11693,40.5874,-73.81247,3,249.46,129.46
173729,Dollingers Inn & Suites,4908 Lake Rd S,Brockport,NY,14420,43.19443,-77.94395,2.5,140.33,85.33
422144,"Hampton Inn Brockport, NY",4873 Lake Rd S,Brockport,NY,14420,43.19433,-77.94397,2.5,129.43,107.43
492714,Econo Lodge Brockport,6575 4th Section Rd,Brockport,NY,14420,43.19835,-77.94608,2,70.48,65.48
438964,Opera House Hotel,436 East 149th Street,Bronx,NY,10455,40.81531,-73.91589,3,209.47,169.47
428137,Rodeway Inn Bronx Zoo,3070-72 Webster Ave,Bronx,NY,10467,40.87052,-73.87789,2,171.34,170.34
169333,Ramada Bronx,1000 Baychester Ave,Bronx,NY,10475,40.87979,-73.83187,3,241.1339,140.2387
269318,Days Inn Bronx Near Stadium,997 Brook Ave,Bronx,NY,10451,40.82687,-73.91176,2,184.0327,126.6667
217343,Howard Johnson Express Inn Bronx,1922 Boston Rd,Bronx,NY,10460,40.83957,-73.88151,2,145.45,123.45
245493,Bronx Guesthouse,East 233 Street,Bronx,NY,10466,40.89192,-73.85267,2,202.3,151.725
393691,Sheridan Hotel,1440 Sheridan Expy,Bronx,NY,10459,40.83114,-73.88481,2,198.39,169.39
466093,Super 8 Bronx,1145 Southern Blvd,Bronx,NY,10459,40.8277,-73.8919,2,94.09,93.09
487266,Residence Inn New York The Bronx At Metro Center Atrium,1776 Eastchester Rd,Bronx,NY,10461,40.84958,-73.84363,3,250.12,249.12
567182,"Umbrella Hotel, An Ascend Hotel Collection Member",681 Elton Ave,Bronx,NY,10455,40.81885,-73.91467,2.5,249.38,199.38
339951,Sheraton Brooklyn New York Hotel,228 Duffield Street,Brooklyn,NY,11201,40.6916,-73.98436,4,409.1485,259.0916
348082,Best Western Plus Arena Hotel,1324 Atlantic Ave,Brooklyn,NY,11216,40.67829,-73.94857,2.5,150.24,114.25
370872,Aloft New York Brooklyn,216 Duffield St,Brooklyn,NY,11201,40.69172,-73.98435,3,509.46,249.46
272697,NU Hotel Brooklyn,85 Smith St,Brooklyn,NY,11201,40.68891,-73.98897,3.5,299.34,273.34
400022,Hotel BPM - Brooklyn New York,139 33rd street,Brooklyn,NY,11232,40.6565,-74.0035,3.5,170.19,169.19
406834,McCarren Hotel & Pool,160 N 12th St,Brooklyn,NY,11249,40.721,-73.95543,4,575.41,330.41
385544,"Union Hotel, an Ascend Hotel Collection Member",611 DeGraw St,Brooklyn,NY,11217,40.67907,-73.98322,2.5,144.36,114.36
262957,Holiday Inn Express Brooklyn,625 Union St,Brooklyn,NY,11215,40.678,-73.98453,3,139.24,99.2
253355,Hotel Le Bleu,370 Fourth Ave,Brooklyn,NY,11215,40.67304,-73.98658,3,145.4,144.99
370130,Condor Hotel,56 Franklin Ave,Brooklyn,NY,11205,40.6975,-73.95864,3.5,439.36,279.31
417594,Hotel Indigo BROOKLYN,229 Duffield St,Brooklyn,NY,11201,40.69124,-73.9844,3.5,334.05,143.6691
350857,Sleep Inn Brooklyn Downtown,134 22nd St,Brooklyn,NY,11232,40.66306,-73.99778,2,149.2,129.2
339969,La Quinta Inn & Suites Brooklyn Downtown,533 3rd Ave,Brooklyn,NY,11215,40.66882,-73.99322,2.5,189.44,169.44
403899,The Box House Hotel,77 Box Street,Brooklyn,NY,11222,40.73749,-73.95329,4,379.42,249.42
263437,Hotel Le Jolie,235 Meeker Ave,Brooklyn,NY,11211,40.71635,-73.95075,2.5,189.44,159.44
333610,Super 8 Brooklyn / Park Slope Hotel,267 3rd Ave,Brooklyn,NY,11215,40.67784,-73.98577,2,561.07,271
256012,Red Lion Inn and Suites Brooklyn,279 Butler St,Brooklyn,NY,11217,40.68133,-73.98485,3.5,329,309
123678,Best Western Gregory Hotel,8315 4th Ave,Brooklyn,NY,11209,40.62447,-74.02767,2.5,205.35,125.35
376174,Pointe Plaza Hotel,2 Franklin Ave,Brooklyn,NY,11249,40.6991,-73.95898,3,126.9366,125.9366
438068,International Students Residence,341 Broadway,Brooklyn,NY,11211,40.70784,-73.95615,1.5,69.99,40.29
388700,Comfort Inn Red Hook,17 Seabring Street,Brooklyn,NY,11231,40.68016,-74.0058,2.5,124.0796,114.095
362397,"Brooklyn Way Hotel, BW Premier Collection",764 4th Ave,Brooklyn,NY,11232,40.65996,-73.99867,2.5,180.36,162.36
360006,Fairfield Inn & Suites by Marriott New York Brooklyn,181 3rd Ave,Brooklyn,NY,11217,40.68055,-73.98393,2.5,309.2,209.01
417441,Galaxy Motel,860 Pennsylvania Avenue,Brooklyn,NY,11207,40.65677,-73.88937,2,130.0206,110.0134
218905,Days Inn Brooklyn,437 39th Street,Brooklyn,NY,11232,40.65204,-74.00517,2,229,134.1
136344,New York Marriott at the Brooklyn Bridge,333 Adams St,Brooklyn,NY,11201,40.69365,-73.9887,4,489.07,212.04
252992,Red Carpet Inn New York City,980 Wyckoff Ave,Brooklyn,NY,11237,40.69594,-73.9047,2,201.34,200.34
364363,Oasis Motel in Brooklyn,12091 Flatlands Ave,Brooklyn,NY,11207,40.65227,-73.88741,1.5,329.95,328.95
